,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,01-11-2021,,
01-10-2019 00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2019 01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2019 02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2019 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2019 04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2019 05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2019 06:30,72.059,55.419,83.75,65.592,84.697,48.41,46.692,57.586,74.475,79.418,64.907,28.096,48.317,33.496,26.638,30.504,47.427,38.42,27.39,36.665,38.507,35.15,33.98,38.889,18.015,34.797,33.239,19.443,21.815,61.979,67.269,57.701,0.047210688,141.6320625
01-10-2019 07:30,232.334,188.517,274.499,217.395,249.736,155.283,160.158,207.755,248.454,259.693,217.248,99.54,174.178,128.354,114.162,121.308,169.137,160.394,111.213,118.477,154.104,134.066,136.756,146.214,75.6,133.475,137.405,81.32,102.544,224.711,256.393,241.221,0.169738875,509.216625
01-10-2019 08:30,434.483,321.799,455.026,376.809,400.544,245.681,282.332,365.65,422.046,419.276,355.609,185.011,310.127,240.23,207.26,226.71,285.198,286.614,199.067,191.728,261.324,225.39,277.773,238.977,135.606,249.109,250.198,151,190.265,357.104,433.767,445.465,0.294599313,883.7979375
01-10-2019 09:30,579.88,416.9,583.176,492.978,534.021,317.93,395.499,495.184,557.829,539.868,463.718,265.729,441.397,320.505,294.744,341.177,346.919,404.248,277.482,230.826,346.334,282.16,413.457,287.633,188.2,328.368,346.941,212.012,276.084,493.029,553.993,584.045,0.394133313,1182.399938
01-10-2019 10:30,657.633,481.857,657.566,554.37,616.285,368.382,460.589,583.378,615.856,636.71,518.065,315.128,481.212,355.866,361.477,450.073,365.26,460.075,321.849,250.837,383.668,324.12,501.847,287.664,228.763,372.016,410.922,290.199,330.18,562.51,634.225,662.325,0.453153344,1359.460031
01-10-2019 11:30,678.84,506.205,687.735,562.812,634.114,373.247,486.13,597.933,645.41,657.367,534.785,328.271,492.91,370.586,374.212,547.733,341.637,450.78,337.191,241.22,408.86,335.42,529.806,284.057,257.286,368.484,434.968,342.82,332.871,588.332,667.66,680.687,0.471261531,1413.784594
01-10-2019 12:30,648.316,503.851,682.827,510.421,592.797,344.981,468.744,562.493,627.544,653.105,539.787,315.796,466.699,357.77,351.772,571.611,333.788,439.944,325.826,231.031,394.23,306.005,430.452,271.866,251.655,323.662,424.331,353.057,306.073,534.206,656.276,660.657,0.451299156,1353.897469
01-10-2019 13:30,557.372,459.214,617.086,440.963,535.006,321.238,412.243,495.466,563.825,578.226,491.245,276.393,372.369,313.221,307.814,525.808,315.27,393.565,282.526,212.212,350.185,265.774,324.404,245.342,208.511,252.979,360.055,330.645,265.004,513.39,588.299,597.646,0.3991655,1197.4965
01-10-2019 14:30,426.015,365.407,499.28,327.229,407.114,246.436,320.892,390.963,454.513,459.224,413.544,217.146,271.171,253.045,240.307,425.114,267.876,318.694,216.418,172.56,276.372,187.119,237.287,191.904,152.832,196.76,277.352,245.434,212.745,419.507,478.561,491.014,0.314369844,943.1095313
01-10-2019 15:30,254.598,240.233,340.296,191.036,267.014,158.361,208.381,232.666,282.063,311.253,302.766,139.118,193.721,158.053,142.929,283.944,188.609,211.673,133.473,113.532,178.857,114.352,155.14,114.536,89.388,115.108,159.583,151.309,139.384,283.792,322.631,328.618,0.203325531,609.9765938
01-10-2019 16:30,90.833,113.12,151.716,76.783,105.783,64.173,88.589,93.723,120.493,126.033,131.4,55.103,84.008,61.73,52.638,119.521,82.71,92.765,46.793,44.257,72.53,40.999,57.219,42.357,30.897,35.822,55.893,56.462,55.548,118.498,133.619,131.89,0.082309531,246.9285938
