,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,01-11-2021,
 00:30,473594.83,1914660.199,1315257.834,2137031.039,632684.635,1607178.307,685341.835,273257.816,671279.148,687819.191,114036.928,1176.513,121441.847,147797.986,2262061.556,909629.825,545529.176,433121.211,770245.1,2131557.877,1440630.75,74170.375,1525551.697,3805772.661,1873488.708,26283.864,578775.552,1817878.977,570906.215,581457.228,5183.512,16141.179,942.2169866
01:30,584534.798,1744330.262,1279491.207,1988786.829,701930.804,1109617.16,484730.665,238857.975,609729.529,704980.814,47320.397,426.791,181179.102,186755.567,2095435.62,1413827.594,384242.363,574424.275,659052.297,2005596.199,1022896.399,51301.569,2085716.212,4111779.825,1973298.741,15329.58,619284.823,1761095.684,664675.322,526221.357,9831.462,2886.275,932.4864843
 02:30,604217.301,1504803.551,1158678.366,1836370.353,624081.532,935743.712,445452.877,159681.569,545028.255,742925.605,60556.037,602.396,316482.185,383516.934,1838787.481,1970681.194,277181.386,710700.069,599770.148,1751018.779,604077.015,58714.569,2496003.357,4347104.586,1780979.43,11055.133,709851.952,1363633.746,862584.179,522275.076,20394.615,935.656,913.8715326
03:30,565053.534,1312295.897,987372.792,1377884.265,540795.216,900725.251,315229.593,120562.823,481431.291,721128.322,165590.526,5794.837,497815.887,708928.383,1755881.204,2412685.33,197574.641,766660.37,576586.242,1410943.855,226406.138,158912.198,2751233.52,4292130.522,1413907.408,14934.987,774006.268,800830.556,1436222.795,579895.649,35706.962,757.073,884.5588855
 04:30,520948.316,1176328.04,665915.816,1090516.264,615985.02,838307.835,223124.479,126619.434,436782.424,670720.261,410795.912,56340.608,681890.835,1044146.899,1680696.416,2488052.565,158679.848,728828.61,524020.274,1154191.077,35102.048,316411.633,2665667.398,3967246.086,1100759.919,31889.917,916470.765,345953.82,2270184.677,586279.067,63142.976,975.272,862.2804535
05:30,466250.677,964854.438,540570.085,754066.387,613271.839,781781.538,173981.053,160781.088,443546.458,618461.724,717970.405,207241.248,867635.383,1411473.512,1514949.959,2207489.606,143524.678,680442.997,421055.659,1004388.279,2450.135,414614.207,2172677.508,3505117.43,779223.18,26486.317,868550.768,373796.728,2883682.954,587837.339,123327.677,2035.715,826.0480303
 06:30,368854.524,862006.689,470713.405,358666.459,613273.417,718115.544,154159.083,211302.212,529138.282,586901.709,1044494.084,399717.233,1057712.696,1640752.71,1208538.504,1758105.026,155332.01,636251.776,267472.864,967368.36,1585.817,531402.198,1549585.448,2862465.665,500553.738,2701.554,1005199.245,621509.836,3069870.17,635715.446,235745.546,6001.032,782.2253838
07:30,246421.297,898067.045,375613.997,106015.943,665743.022,651308.75,111625.846,353809.415,694243.794,665820.878,1440306.911,624116.771,1141805.987,1562076.937,902686.455,1310716.441,156569.605,571722.637,128791.693,824030.448,15828.439,734799.049,1077645.363,2031094.301,398511.464,190.124,1562986.118,882422.891,2931493.157,692902.172,365939.762,18926.461,754.5072867
 08:30,328391.609,702011.957,295872.925,14339.031,717375.905,609384.271,88987.621,665239.976,1010951.868,915774.004,1765532.097,798060.046,942858.045,1285532.319,627738.488,940599.022,137156.867,504410.809,40151.306,677702.207,173031.584,1052172.699,711233.05,1191801.755,482760.527,0,1812711.249,1040220.765,2666059.96,715161.826,509651.031,42314.439,733.2871643
09:30,309507.544,523868.28,233517.523,554.442,748867.91,642706.93,102436.266,1057078.735,1551422.297,1290544.532,1798115.586,767998.512,641891.001,1023143.369,496243.795,604153.677,76426.093,445843.584,21396.436,634840.664,514757.805,1363959.851,469411.849,823682.039,563441.194,125.514,1776499.28,1336966.182,2401539.69,613692.783,665789.385,64543.795,736.4052045
 10:30,224118.422,375393.364,166106.02,39.2,762172.547,696668.528,185905.776,1584259.25,2205638.724,1515015.669,1659746.076,665657.9,375726.929,812603.424,441398.726,388820.624,32978.62,404831.484,50495.382,665932.972,799000.402,1318097.786,386335.159,749117.054,497741.612,2587.251,1750025.757,1911987.937,1915447.079,498183.825,783846.737,70690.193,746.7678259
11:30,143104.041,268100.691,95678.774,34448.822,844487.736,806222.349,489272.786,2305407.487,2665948.197,1635869.836,1496577.705,533210.407,189095.691,636460.631,400475.618,199316.139,16226.372,385375.164,158796.659,605803.488,829253.695,1456912.28,217471.722,667178.991,400655.177,17910.697,1567261.957,2538873.049,1463458.929,527360.514,878618.566,64393.141,766.8508535
 12:30,95320.208,212013.638,70400.743,253984.871,997598.011,1012793.372,1106239.275,2939606.201,2892924.097,1724222.481,1380019.914,384706.609,74239.83,522247.617,196591.178,65349.332,7564.4,405959.277,341687.357,415833.072,991955.737,1315116.752,112903.272,593402.976,305834.142,60936.151,1319953.451,2973018.023,1121380.248,618775.94,919250.47,52993.961,796.4007064
