,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,
t1,439.497,463.535,218.015,274.388,263.763,338.148,244.055,115.696,191.696,230.976,126.696,256.155,157.139,219.835,279.009,540.636,663.44,796.049,880.314,820.386,424.135,552.415,352.4,425.719,379.507,359.751,182.61,426.697,402.66,283.788,288.88,374.1287097,3554.222742
t2,444.259,489.307,196.726,272.216,269.671,366.905,309.734,110.42,192.306,240.472,96.157,207.109,136.417,210.548,284.294,539.58,663.428,810.291,909.712,820.342,435.548,538.649,310.535,422.289,370.006,397.424,202.527,416.698,378.337,289.795,282.251,374.6436452,3559.114629
t3,423.324,492.914,227.435,243.008,314.591,378.617,278.333,115.285,156.732,225.233,95.272,158.135,131.613,205.212,331.603,505.761,663.404,771.279,920.399,811.285,426.479,515.791,292.927,369.656,334.171,397.78,211.152,381.072,343.263,281.381,227.872,362.2896452,3441.751629
t4,380.247,478.698,285.241,196.816,324.978,394.456,256.334,114.037,126.28,211.611,100.005,119.117,122.669,196.33,447.003,442.441,657.396,701.79,908.805,784.627,424.478,509.933,280.75,310.721,314.566,382.558,197.8,343.236,319.647,278.665,178.16,348.045,3306.4275
t5,351.256,456.642,329.033,187.579,226.859,402.021,245.382,122.433,86.068,214.236,93.574,95.244,124.096,177.456,400.844,409.257,646.521,652.528,893.694,763.469,491.103,506.768,271.581,272.013,305.341,379.517,184.17,306.675,300.026,251.379,167.27,332.7108065,3160.752661
t6,342.582,450.308,325.023,196.736,191.724,409.999,236.821,149.911,64.844,227.43,80.971,88.828,127.307,164.022,354.368,408.206,629.636,626.328,880.403,767.085,604.246,490.823,259.036,225.26,293.369,336.747,167.471,242.367,285.302,223.062,157.855,322.8409677,3066.989194
t7,322.632,428.701,251.113,167.459,178.619,395.071,212.509,171.156,49.585,243.619,57.678,68.211,103.855,141.273,296.089,419.561,617.855,617.867,860.23,777.322,651.562,478.694,200.661,177.465,272.952,274.989,138.166,241.157,290.065,184.001,143.356,304.3055806,2890.903016
t8,430.22,637.309,436.784,304.534,323.067,493.849,370.64,261.407,54.638,344.915,92.69,58.759,101.154,198.601,366.94,638.72,740.787,747.238,893.255,808.005,797.182,612.774,359.416,335.214,327.218,415.641,154.603,351.537,370.801,207.68,205.486,401.3246452,3812.584129
t9,470.108,736.54,586.396,412.747,471.526,622.135,435.452,304.382,80.681,488.344,185.041,102.606,112.039,214.263,425.03,719.293,818.817,835.25,934.288,858.19,885.329,717.869,612.778,447.011,418.81,515.792,166.555,395.064,394.562,213.78,241.75,478.1428387,4542.356968
t10,525.186,768.227,614.186,454.341,547.095,645.719,468.833,340.607,155.864,573.755,226.189,96.688,112.43,217.046,478.695,752.406,843.707,872.413,953.436,882.486,923.842,774.752,726.101,511.351,482.559,511.027,175.484,419.576,430.333,228.049,251.858,514.9755161,4892.267403
t11,581.564,795.806,624.167,475.956,602.236,638.884,510.769,368.002,286.402,618.384,246.955,64.767,112.327,230.536,525.433,773.957,841.061,883.374,963.183,892.579,943.924,818.175,764.739,557.999,496.883,478.532,204.3,441.871,475.64,240.723,245.241,538.8506129,5119.080823
